Site,Botanical name,no.stems,Size
10,Azadirachta indica,1,8
10,Dichrostachys cinerea,1,9.5
10,Dichrostachys cinerea,1,6
10,Holoptelia integrifolia,1,13
10,Azadirachta indica,1,14
10,Azadirachta indica,1,17
10,Azadirachta indica,2,22.34390297
10,Azadirachta indica,1,116
10,Wrightia tinctoria,13,68.66767799
10,Dalbergia paniculata,1,2
10,Cassia fistula,1,7.5
10,Dalbergia paniculata,1,11
10,Cassia fistula,1,11
10,Dalbergia paniculata,1,12
10,Dalbergia paniculata,1,12.5
10,Dalbergia paniculata,1,13.5
10,Dalbergia paniculata,3,28.30635971
10,Dalbergia paniculata,1,15
10,Dalbergia paniculata,1,15
10,Dalbergia paniculata,1,16.5
10,Cassia fistula,2,26.1629509
10,Dalbergia paniculata,1,21
10,Dalbergia paniculata,3,36.78654645
10,Dalbergia paniculata,1,24.5
10,Dalbergia paniculata,1,25
10,Dalbergia paniculata,1,26.5
10,Dalbergia paniculata,1,27.5
10,Dalbergia paniculata,1,28
10,Dalbergia paniculata,3,41.2371192
10,Dalbergia paniculata,1,32
10,Dalbergia paniculata,2,49.51767361
10,Dalbergia paniculata,2,48.7954916
10,Dalbergia paniculata,1,40.5
10,Dalbergia paniculata,1,44
10,Dalbergia paniculata,3,58.77286789
10,Dalbergia paniculata,2,80.7232928
13,Azadirachta indica,1,7
13,Azadirachta indica,1,17.8
13,Pongamia pinnata,6,38.75022581
13,Pongamia pinnata,4,49.33082201
13,Azadirachta indica,1,35.5
13,Azadirachta indica,1,87
13,Azadirachta indica,1,170.5
13,Azadirachta indica,1,2
13,Azadirachta indica,1,6
13,Azadirachta indica,1,7.6
13,Wrightia tinctoria,1,13
13,Wrightia tinctoria,1,14
13,Wrightia tinctoria,1,15
13,Azadirachta indica,1,15.6
13,Wrightia tinctoria,1,17.5
13,Wrightia tinctoria,1,19.9
13,Azadirachta indica,1,26
13,Azadirachta indica,1,28.4
13,Wrightia tinctoria,1,31
13,Azadirachta indica,1,35
13,Azadirachta indica,1,50.4
13,Azadirachta indica,1,2
13,Annona squamosa,8,32.59677898
13,Holoptelia integrifolia,1,13.1
13,Azadirachta indica,1,14.2
13,Azadirachta indica,2,20.64751801
13,Azadirachta indica,1,15.5
13,Azadirachta indica,2,28.23490747
13,Albizia amara,1,21
13,Azadirachta indica,1,23
13,Azadirachta indica,2,30.43846251
13,Azadirachta indica,2,29.57718715
13,Pongamia pinnata,5,53.88849599
13,Azadirachta indica,2,46.68072407
23,Pongamia pinnata,5,39.72404813
23,Pongamia pinnata,1,14.5
23,Pongamia pinnata,1,5
23,Pongamia pinnata,10,52.70199237
23,Pongamia pinnata,8,34.30014577
23,Azadirachta indica,1,23.5
23,Azadirachta indica,3,23.80126047
23,Azadirachta indica,1,2
23,Azadirachta indica,1,7
23,Azadirachta indica,1,10.5
23,Azadirachta indica,2,8.746427842
23,Pongamia pinnata,9,40.2181551
23,Annona squamosa,1,2
23,Annona squamosa,2,19.7040605
23,Holoptelia integrifolia,2,14.5
23,Pongamia pinnata,9,57.29528776
23,Pongamia pinnata,5,42.95637322
23,Gyrocarpus americanus,5,80.48602363
23,Annona squamosa,5,11.73669459
23,Holoptelia integrifolia,3,31.16488408
23,Gyrocarpus americanus,2,30.64131198
23,Cassia fistula,1,48
23,Azadirachta indica,2,21.00214275
23,Azadirachta indica,1,29.5
23,Azadirachta indica,3,18.82153022
