Site,Botanical name,no.stems,Size
16,Dichrostachys cinerea,1,41.5
16,Dichrostachys cinerea,2,57.71048432
16,Dichrostachys cinerea,1,61.5
16,Dalbergia paniculata,1,7
16,Dalbergia paniculata,1,7.5
16,Dalbergia paniculata,1,9.5
16,Dalbergia paniculata,1,10.5
16,Dalbergia paniculata,1,13
16,Dalbergia paniculata,1,18
16,Dalbergia paniculata,1,23
16,Dalbergia paniculata,7,53.04479239
16,Dalbergia paniculata,7,48.52834223
16,Dalbergia paniculata,3,43.73499743
16,Dalbergia paniculata,1,35
16,Cassia fistula,1,10
16,Dalbergia paniculata,1,14
16,Erythroxylum monogynum,1,15
16,Premna tomentosa,1,16.5
16,Dalbergia paniculata,2,21.63330765
16,Dalbergia paniculata,3,28.51315486
16,Dalbergia paniculata,1,19
16,Dalbergia paniculata,1,22.5
16,Cassia fistula,1,24.5
16,Dolichandrone atrovirens,4,42.03569911
16,Dalbergia paniculata,1,27.5
16,Acacia chundra,1,29
16,Dalbergia paniculata,1,31
16,Dalbergia paniculata,3,42.75804018
18,Chloroxylon sweitenia,2,15.20690633
18,Chloroxylon sweitenia,2,15.20690633
18,Chloroxylon sweitenia,1,12
18,Chloroxylon sweitenia,1,12
18,Chloroxylon sweitenia,3,24.27962108
18,Chloroxylon sweitenia,1,14
18,Chloroxylon sweitenia,1,14
18,Chloroxylon sweitenia,3,24.27962108
18,Chloroxylon sweitenia,2,19.20937271
18,Chloroxylon sweitenia,2,19.20937271
18,Chloroxylon sweitenia,2,23.32380758
18,Chloroxylon sweitenia,2,23.32380758
18,Chloroxylon sweitenia,1,21.5
18,Chloroxylon sweitenia,1,21.5
18,Acacia chundra,1,28
18,Acacia chundra,1,28
18,Chloroxylon sweitenia,1,32
18,Chloroxylon sweitenia,1,32
18,Chloroxylon sweitenia,1,34
18,Chloroxylon sweitenia,1,34
18,Chloroxylon sweitenia,1,39
18,Chloroxylon sweitenia,1,39
18,Dolichandrone atrovirens,1,42
18,Dolichandrone atrovirens,1,42
18,Acacia chundra,1,42.5
18,Acacia chundra,1,42.5
18,Chloroxylon sweitenia,1,3.1
18,Chloroxylon sweitenia,1,3.1
18,Chloroxylon sweitenia,1,8
18,Chloroxylon sweitenia,1,8
18,Chloroxylon sweitenia,1,12.5
18,Chloroxylon sweitenia,1,12.5
18,Chloroxylon sweitenia,1,14
18,Chloroxylon sweitenia,1,14
18,Chloroxylon sweitenia,1,14
18,Chloroxylon sweitenia,1,14
18,Dolichandrone atrovirens,1,15
18,Dolichandrone atrovirens,1,15
18,Dolichandrone atrovirens,1,16.2
18,Dolichandrone atrovirens,1,16.2
18,Premna tomentosa,1,17
18,Premna tomentosa,1,17
18,Chloroxylon sweitenia,1,18
18,Chloroxylon sweitenia,1,18
18,Dolichandrone atrovirens,1,18.5
18,Dolichandrone atrovirens,1,18.5
18,Chloroxylon sweitenia,1,22
18,Dolichandrone atrovirens,1,22
18,Dolichandrone atrovirens,1,22
18,Chloroxylon sweitenia,1,22
18,Dolichandrone atrovirens,1,22
18,Dolichandrone atrovirens,1,22
18,Chloroxylon sweitenia,1,23
18,Chloroxylon sweitenia,1,23
18,Chloroxylon sweitenia,1,23
18,Chloroxylon sweitenia,1,23
18,Cassia fistula,2,40.60788101
18,Cassia fistula,2,40.60788101
18,Dolichandrone atrovirens,1,34
18,Dolichandrone atrovirens,1,34
18,Chloroxylon sweitenia,1,37.5
18,Chloroxylon sweitenia,1,37.5
18,Acacia chundra,1,39
18,Acacia chundra,1,39
18,Chloroxylon sweitenia,1,2
18,Chloroxylon sweitenia,1,2
18,Chloroxylon sweitenia,2,8.485281374
18,Chloroxylon sweitenia,2,8.485281374
18,Chloroxylon sweitenia,1,8
18,Chloroxylon sweitenia,1,8
18,Chloroxylon sweitenia,1,9
18,Chloroxylon sweitenia,1,9
18,Chloroxylon sweitenia,1,11.5
18,Chloroxylon sweitenia,1,11.5
18,Chloroxylon sweitenia,1,12
18,Chloroxylon sweitenia,1,12
18,Dolichandrone atrovirens,2,19.44865034
18,Dolichandrone atrovirens,2,19.44865034
18,Dolichandrone atrovirens,1,17.3
18,Dolichandrone atrovirens,1,17.3
18,Dolichandrone atrovirens,1,18
18,Dolichandrone atrovirens,1,18
18,Dolichandrone atrovirens,2,22.96170725
18,Dolichandrone atrovirens,2,22.96170725
18,Chloroxylon sweitenia,1,22
18,Chloroxylon sweitenia,1,22
18,Dolichandrone atrovirens,3,38.04273912
18,Dolichandrone atrovirens,3,38.04273912
18,Wrightia tinctoria,1,25
18,Wrightia tinctoria,1,25
18,Dolichandrone atrovirens,1,26
18,Dolichandrone atrovirens,1,26
18,Dolichandrone atrovirens,1,30.5
18,Dolichandrone atrovirens,1,30.5
18,Chloroxylon sweitenia,1,37
18,Chloroxylon sweitenia,1,37
18,Chloroxylon sweitenia,1,45
18,Chloroxylon sweitenia,1,45
22,Dolichandrone atrovirens,1,7.4
22,Dolichandrone atrovirens,1,8.5
22,Dolichandrone atrovirens,1,13.5
22,Dolichandrone atrovirens,2,16.31349135
22,Dolichandrone atrovirens,1,14.8
22,Dolichandrone atrovirens,1,18.3
22,Dolichandrone atrovirens,1,22
22,Dolichandrone atrovirens,1,27
22,Dolichandrone atrovirens,1,28.3
22,Dolichandrone atrovirens,1,29
22,Dolichandrone atrovirens,1,33.2
22,Dolichandrone atrovirens,1,2
22,Dolichandrone atrovirens,1,2
22,Dolichandrone atrovirens,1,2
22,Dolichandrone atrovirens,1,12.3
22,Dolichandrone atrovirens,2,22.36604569
22,Dolichandrone atrovirens,1,13.2
22,Dolichandrone atrovirens,1,14.7
22,Dolichandrone atrovirens,1,15
22,Dolichandrone atrovirens,1,19.5
22,Dolichandrone atrovirens,2,37.74135663
22,Cassia fistula,1,39.6
22,Dolichandrone atrovirens,1,42.7
22,Grewia flavascens,1,2
22,Albizia amara,1,2
22,Sapindus emarginatus,1,2
22,Dalbergia paniculata,1,2
22,Dolichandrone atrovirens,4,23.78739162
22,Dolichandrone atrovirens,1,30.7
22,Chloroxylon sweitenia,1,31.7
22,Dalbergia paniculata,4,48.05299158
E,Cassia fistula,2,5.166236541
E,Dolichandrone atrovirens,1,9.5
E,Tectona grandis,1,11
E,Tectona grandis,2,17.18284028
E,Dolichandrone atrovirens,1,13.6
E,Dolichandrone atrovirens,1,15.7
E,Anogessius latifolia,3,31.9751466
E,Tectona grandis,1,22
E,Cassia fistula,3,35.60744304
E,Dolichandrone atrovirens,2,38.10301825
E,Dalbergia paniculata,1,34.9
E,Tectona grandis,1,40
E,Anogessius latifolia,1,2
E,Anogessius latifolia,1,2
E,Dolichandrone atrovirens,2,9.667471231
E,Anogessius latifolia,1,8
E,Anogessius latifolia,1,8.5
E,Anogessius latifolia,1,8.8
E,Tectona grandis,3,15.0392819
E,Anogessius latifolia,1,9.5
E,Anogessius latifolia,1,9.5
E,Anogessius latifolia,1,10.1
E,Anogessius latifolia,1,10.1
E,Dolichandrone atrovirens,1,10.5
E,Anogessius latifolia,1,10.7
E,Anogessius latifolia,1,11.3
E,Anogessius latifolia,1,11.6
E,Anogessius latifolia,1,11.7
E,Anogessius latifolia,1,11.9
E,Tectona grandis,1,12.1
E,Dolichandrone atrovirens,1,13
E,Anogessius latifolia,1,13.5
E,Anogessius latifolia,1,13.5
E,Anogessius latifolia,1,13.8
E,Anogessius latifolia,1,14
E,Anogessius latifolia,1,14
E,Anogessius latifolia,1,14
E,Anogessius latifolia,1,14.1
E,Anogessius latifolia,1,14.5
E,Anogessius latifolia,1,14.9
E,Anogessius latifolia,1,16
E,Tectona grandis,1,16
E,Anogessius latifolia,1,16.3
E,Anogessius latifolia,1,16.5
E,Anogessius latifolia,1,18.1
E,Dalbergia paniculata,1,59.3
E,Dolichandrone atrovirens,1,2
E,Dolichandrone atrovirens,1,2
E,Cassia fistula,1,2
E,Cassia fistula,2,5.249761899
E,Tectona grandis,1,8.2
E,Dolichandrone atrovirens,1,10.3
E,Dolichandrone atrovirens,1,11.7
E,Dolichandrone atrovirens,1,14.2
E,Dolichandrone atrovirens,2,18.56906029
E,Dolichandrone atrovirens,1,15.3
E,Dolichandrone atrovirens,1,16
E,Dolichandrone atrovirens,1,17
E,Dolichandrone atrovirens,2,22.38325267
E,Cassia fistula,3,35.20710156
E,Dolichandrone atrovirens,4,37.85591103
E,Dolichandrone atrovirens,2,33.63406012
E,Cassia fistula,2,28.30635971
E,Cassia fistula,1,33.4
E,Dalbergia paniculata,3,48.81126919
E,Dalbergia paniculata,2,66.66520832
M,Anogessius latifolia,1,2
M,Dolichandrone atrovirens,1,2.5
M,Anogessius latifolia,1,7
M,Anogessius latifolia,1,7.4
M,Anogessius latifolia,1,7.5
M,Dolichandrone atrovirens,1,9.2
M,Dolichandrone atrovirens,1,10
M,Dolichandrone atrovirens,2,16.54629868
M,Tectona grandis,3,17.74654896
M,Tectona grandis,1,12.2
M,Dolichandrone atrovirens,1,12.6
M,Cassia fistula,2,17.20726591
M,Dolichandrone atrovirens,1,12.8
M,Tectona grandis,1,12.8
M,Dolichandrone atrovirens,2,16.66043217
M,Tectona grandis,1,13.6
M,Tectona grandis,4,21.7605147
M,Dolichandrone atrovirens,1,14.3
M,Dolichandrone atrovirens,1,14.6
M,Dolichandrone atrovirens,1,14.8
M,Dolichandrone atrovirens,2,19.84943324
M,Dolichandrone atrovirens,3,24.61158264
M,Dolichandrone atrovirens,1,16.1
M,Dolichandrone atrovirens,2,22.63846285
M,Tectona grandis,3,24.81894438
M,Dolichandrone atrovirens,1,18
